1804|1039517|335220|26224|1039517|09|CIUDAD DE MÉXICO|010|Álvaro Obregón|0001|Álvaro Obregón|ENERGISOL SA DE CV|ENERGISOL SA DE CV|335220|Fabricación de aparatos de línea blanca|11 a 30 personas|AVENIDA|RÓMULO OFARRIL|466||0|COLONIA|OLIVAR DE LOS PADRES|||01780|1218|018|5519421085|CGONZALEZ@ENERGISOL.COM.MX|WWW.ENERGISOL.COM.MX|2010-07|19.33849482|-99.21041177||CALLE|JACARANDAS|CERRADA|NINGUNO|CALLE|CANALITO|09010335220000022001000000U4
1804|8347866|467111|26225|8347866|14|JALISCO|039|Guadalajara|0001|Guadalajara|VENTA DE CALENTADORES SOLARES ENERGISOL|PENTT SYS SA DE CV|467111|Comercio al por menor en ferreterías y tlapalerías|0 a 5 personas|AVENIDA|LOPEZ DE LEGAZPI|1673|||FRACCIONAMIENTO|18 DE MARZO|||44960|2728|008||||2019-11|20.63786432|-103.37458052||CALLE|J. BRUCE|CALLE|AMERICO VESPUCIO|CALLE|POZA RICA|14039467111016391000000000U8
1808|790074|326194|26226|790074|09|CIUDAD DE MÉXICO|006|Iztacalco|0001|Iztacalco|TAPAS DE LINEA|TAPAS DE LINEA SA DE CV|326194|Fabricación de otros productos de plástico de uso industrial sin reforzamiento|31 a 50 personas|CALLE|PLAYA TENACATITLA|8|||BARRIO|BARRIO SANTIAGO|||08820|0768|005|5555799177|||2010-07|19.39029030|-99.12577124||AVENIDA|SANTIAGO|CALLE|PLAYA MEXIQUILLO|CALLE|PLAYA ROSARITO|09006326194000033000000000U7
1809|790040|434211|26227|790040|09|CIUDAD DE MÉXICO|006|Iztacalco|0001|Iztacalco|ALMACEN DE MATERIALES DE CONSTRUCCION DISTRIBUIDORA DE MATERIALES PLUTARCO|DISTRIBUIDORA DE MATERIALES PLUTARCO SA DE CV|434211|Comercio al por mayor de cemento, tabique y grava|6 a 10 personas|CALZADA|CALZADA DE LA VIGA|610|||COLONIA|BARRIO DE ZAPOTLA|||08610|1111|022|5555907575|||2010-07|19.39734874|-99.12374698||EJE VIAL|4 SUR (PRESIDENTE PLUTARCO ELIAS CALLES)|EJE VIAL|2 ORIENTE (CONGRESO DE LA UNION)|EJE VIAL|2 ORIENTE (CONGRESO DE LA UNIÓN)|09006434211000051000000000U0
1811|8027372|311812|26228|8027372|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|FLORENTINE|FLORENTINE SA DE CV|311812|Panificación tradicional|11 a 30 personas|CALLE|2|539|||COLONIA|FRANCISCO I MADERO|||11470|036A|012||||2019-11|19.44689552|-99.20358341||AVENIDA|RIO SAN JOAQUIN|CALLE|6|CALLE|1|09016311812001923000000000U1
1811|6307942|311812|26229|6307942|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|PRALINE|FLORENTINE SA DE CV|311812|Panificación tradicional|6 a 10 personas|AVENIDA|HOMERO|1408||0|COLONIA|POLANCO|||11560|0637|002||FFLORENTINE@HOTMAIL.COM||2010-07|19.43604582|-99.20363257||CALLE|SÓCRATES|CALLE|PLATÓN|AVENIDA|HORACIO|09016311812001114011002811M7
1811|6756044|311812|26230|6756044|09|CIUDAD DE MÉXICO|003|Coyoacán|0001|Coyoacán|PRALINE|FLORENTINE SA DE CV|311812|Panificación tradicional|31 a 50 personas|CALLE|2|539||0|COLONIA|FRANCISCO I MADERO|||1480|1105|016||FFLORENTINE@HOTMAIL.COM||2016-10|19.30271893|-99.18991429||BOULEVARD|ZACATÉPETL|AVENIDA|INSURGENTES SUR|AVENIDA|CENTRO COMERCIAL|09003461190002861011002811S9
1811|1575066|461110|26231|1575066|13|HIDALGO|069|Tizayuca|0042|Don Antonio|MISCELANEA FLORENTINE||461110|Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas|0 a 5 personas|AVENIDA|RANCHO EL RETIRO||||FRACCIONAMIENTO|RANCHO DON ANTONIO|||43810|0552|011|5614309023|||2014-12|19.86804534|-98.93583434||PRIVADA|SEGUNDA DEL MOLINO|PRIVADA|PRIMERA DEL MOLINO|CERRADA|CUARTA DEL MOLINO|13069461110007911000000000U0
1817|680627|713943|26232|680627|09|CIUDAD DE MÉXICO|002|Azcapotzalco|0001|Azcapotzalco|GO FITNESS|OPERFIT SA DE CV|713943|Centros de acondicionamiento físico del sector privado|31 a 50 personas|AVENIDA|AQUILES SERDAN|1025|CENTRO Y PLAZA COMERCIAL||COLONIA|EL ROSARIO|TOWN CENTER EL ROSARIO|M 01|02100|0928|009|||WWW.GOFITNESS.MX|2014-12|19.50302436|-99.20521224|CENTRO Y PLAZA COMERCIAL|AVENIDA|EL ROSARIO|CALLE|OSA MAYOR|CALLE|RÍO BLANCO|09002713943000495001046817S8
1817|715031|713943|26233|715031|09|CIUDAD DE MÉXICO|007|Iztapalapa|0001|Iztapalapa|GO FITNESS|OPERFIT SA DE CV|713943|Centros de acondicionamiento físico del sector privado|31 a 50 personas|EJE VIAL|4 ORIENTE (RIO CHURUBUSCO)|1635|CENTRO Y PLAZA COMERCIAL||COLONIA|CENTRAL DE ABASTO|PLAZA CENTRAL|5A|09040|2475|010|5591291133||WWW.GOFITNES.MX|2014-12|19.37844526|-99.09580302|CENTRO Y PLAZA COMERCIAL|EJE VIAL|5 SUR (LEYES DE REFORMA)|CALLE|NINGUNO|CALLE|NINGUNO|09007713943001853001046817S6
