25713|1830327|611112|58267|1830327|14|JALISCO|120|Zapopan|0001|Zapopan|JARDIN DE NIÑOS SARA CHAVEZ HERNANDEZ SECRETARIA DE EDUCACION PUBLICA||611112|Escuelas de educación preescolar del sector público|6 a 10 personas|CALLE|ARACELI SOUZA|5576|||COLONIA|ARBOLEDAS|||45079|5463|014|3331330365|||2010-07|20.63285085|-103.42890652||CALLE|NINGUNO|CALLE|JESUS SANCHEZ CARRILLO|AVENIDA|MARIANO OTERO|14120611112000882000000000U5
25713|2215550|811111|58268|2215550|15|MÉXICO                      |121|Cuautitlán Izcalli|0001|Cuautitlán Izcalli|TALLER CHAVEZ HERNANDEZ||811111|Reparación mecánica en general de automóviles y camiones|0 a 5 personas|CALLE|LAS TORRES||||COLONIA|FRACC BOSQUES DE LOS PINOS|||54745|2297|002||||2014-12|19.64515173|-99.25926122||CALLE|HERNANDEZ|CALLE|NICOLAS ROMERO|CALLE|HERNÁNDEZ|15121811111003591000000000U6
25713|2770473|623992|58269|2770473|16|MICHOACÁN DE OCAMPO       |077|San Lucas|0001|San Lucas|ALBERGUE ESCOLAR RURAL CIPRIANA HERNANDEZ DE CHAVEZ|SECRETARÍA DE EDUCACIÓN |623992|Orfanatos y otras residencias de asistencia social del sector público|0 a 5 personas|CALLE|AUSENCIO CHAVEZ HERNANDEZ|0||0|COLONIA|SAN LUCAS|||61980|0098|041|4351079032|||2010-07|18.59580693|-100.78343569||CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|16077624222000011000000000U3
25713|2766147|711312|58270|2766147|16|MICHOACÁN DE OCAMPO       |013|Carácuaro|0001|Carácuaro de Morelos|AUDITORIO MUNICIPAL LIC AUSENCIO CHAVEZ HERNANDEZ|H AYUNTAMIENTO MUNICIPAL DE CARACUARO MICHOACÁN |711312|Promotores del sector público de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos|0 a 5 personas|CALLE|NINGUNO||||COLONIA|CENTRO|||61920|0137|007||||2010-07|19.01630742|-101.12746881||CALLE|SIN REFERENCIA|AVENIDA|HIDALGO|CALLEJON|NINGUNO|16013711312000011000000000U1
25713|2924186|611112|58271|2924186|19|NUEVO LEÓN   |037|Mina|0001|Mina|JARDIN DE NIÑOS IRENE CHÁVEZ HERNÁNDEZ|SECRETARIA DE EDUCACION |611112|Escuelas de educación preescolar del sector público|0 a 5 personas|CALLE|LICENCIADO EDUARDO A. ELIZONDO|0||0|COLONIA|EL BARRIAL|||65100|0397|030||||2010-07|26.00009445|-100.52502998||CALLE|MIGUEL HIDALGO|CALLE|IGNACIO ALLENDE|CALLE|E. LIVAS VILLARREAL|19037611112000032000000000U8
25713|7471435|314991|58272|7471435|20|OAXACA|534|San Vicente Coatlán|0001|San Vicente Coatlán|BORDADO MARGARITA HERNANDEZ CHAVEZ||314991|Confección, bordado y deshilado de productos textiles|0 a 5 personas|CALLE|NINGUNO|0||0|LOCALIDAD|SAN VICENTE COATLAN|||71595|0037|060||||2019-11|16.38993953|-96.84393423||CALLE|NINGUNO|CALLE|GUERRERO|CALLE|GUERRERO|20534314991001171000000000U3
25714|6188621|212321|58273|6188621|24|SAN LUIS POTOSÍ        |013|Ciudad Valles|0949|San Felipe (El Abra)|TRICOSA DEL GOLFO SA DE CV|TRICOSA DEL GOLFO SA DE CV|212321|Minería de arena y grava para la construcción|31 a 50 personas|CALLE|NINGUNO||||EJIDO|EL ABRA|||79250|0292|800||TRICOSAVALLES@HOTMAIL.COM||2010-07|21.93901528|-98.96628167||OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|NINGUNO|CALLE|NINGUNO|24013212321000053001000000U8
25715|3677836|238222|58274|3677836|24|SAN LUIS POTOSÍ        |013|Ciudad Valles|0001|Ciudad Valles|PROCLIMA|GRUPO RAPICE SA DE CV|238222|Instalaciones de sistemas centrales de aire acondicionado y calefacción|6 a 10 personas|CALLE|18 DE MARZO|208|||FRACCIONAMIENTO|VALLE ALTO|||79020|1479|004||||2010-07|22.00340806|-99.01016920||CALLE|TERCER MUNDO|CALLE|ANTIGUO CAMINO A LA UNION|CALLE|MALI|24013238222000052001049096M0
25715|7874894|435319|58275|7874894|24|SAN LUIS POTOSÍ        |028|San Luis Potosí|0001|San Luis Potosí|PROCLIMA|GRUPO RAPICE SA DE CV|435319|Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales|6 a 10 personas|AVENIDA|INDUSTRIAS|3850|||COLONIA|ESPAÑOL|||78395|382A|001||||2019-11|22.12497419|-100.92337450||AVENIDA|COVADONGA|PRIVADA|NINGUNO|AVENIDA|COVADONGA|24028437112000082000049096S7
25717|6412715|466112|58276|6412715|31|YUCATÁN       |050|Mérida|0001|Mérida|SERVICLIMAS|NIUTEC SA DE CV|466112|Comercio al por menor de electrodomésticos menores y aparatos de línea blanca|51 a 100 personas|CALLE|20 C DIAGONAL|332||0|COLONIA|LOMA BONITA XCUMPICH|||97204|2451|029||CONTABILIDAD@SERVICLIMAS.COM|WWW.SERVICLIMAS.COM|2010-07|21.03188008|-89.63540510||CALLE|5D|CALLE|5C|CALLE|24|31050468211003085011000000U4
