26148|9229491|522110|44656|9229491|09|CIUDAD DE MÉXICO|010|Álvaro Obregón|0001|Álvaro Obregón|HSBC SUCURSAL TORRE ZAFIRO|HSBC MEXICO INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO HSBC |522110|Banca múltiple|0 a 5 personas|AVENIDA|Boulevard Adolfo Ruíz Cortines|4124|CENTRO Y PLAZA COMERCIAL|0|CIUDAD|JARDINES DEL PEDREGAL|CENTRO COMERCIAL PLAZA LOMAS|2|01900|1307|024||MEXICO_SUC3016@HSBC.COM.MX|WWW.HSBC.COM.MX|2020-04|19.30658659|-99.20956060|CENTRO Y PLAZA COMERCIAL|CALLE|BLVR DE LA LUZ|CALLE|PASEOS DEL PEDREGAL|OTRO (ESPECIFIQUE)|NINGUNO|09010522110010431000013874S1
26148|658783|522110|44657|658783|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|SCOTIABANK TORRE MAYOR|SCOTIABANK INVERLAT  INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO SA|522110|Banca múltiple|11 a 30 personas|AVENIDA|Paseo de la Reforma|505|SCOTIABANK|0|COLONIA|CUAUHTEMOC|SCOTIABANK|SN|06600|0930|014||IRIOSM@SCOTIABANK.COM.MX|WWW.SCOTIABANK,COM.MX|2011-03|19.42389327|-99.17525180|EDIFICIO COMERCIAL Y DE SERVICIOS|CALLE|Río Ródano|CALLE|Río Elba|CALLE|Río Atoyac|09015522110000961000041007S8
26148|9324538|531311|44658|9324538|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|TORRE ESMERALDA III|GRUPO GICSA SAB. DE C.V|531311|Servicios de administración de bienes raíces|6 a 10 personas|CALLE|BOULEVARD MANUEL AVILA CAMACHO|32|||COLONIA|COLONIA LOMAS DE CHAPULTEPEC||||0849|010||ccamacho@gicsa.com.mx||2020-11|19.42946122|-99.20521279||PRIVADA|DEL CASTILLO|AVENIDA|PASEO DE LAS PALMAS|CALLE|FERROCARRIL DE CUERNAVACA|09016551111000932000000000U0
26148|8327209|541330|44659|8327209|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|GRUPO TORRES DESARROLLADORES DE OBRA CIVIL INGENIERIA Y TECNOLOGIA|GRUPO TORRES DESARROLLADORES DE OBRA CIVIL INGENIERIA Y TECNOLOGIA SA DE CV|541330|Servicios de ingeniería|0 a 5 personas|CALLE|PARRAL|78|PARRAL||COLONIA|CONDESA|PARRAL|BIS PB|06140|1318|022||GTDESARROLLADORES@YAHOO.COM.MX||2019-11|19.41165122|-99.17453773|EDIFICIO COMERCIAL Y DE SERVICIOS|CALLE|FERNANDO MONTES DE OCA|AVENIDA|MICHOACAN|AVENIDA|TAMAULIPAS|09015541330002041000000000S8
26148|771078|624191|44660|771078|09|CIUDAD DE MÉXICO|005|Gustavo A. Madero|0001|Gustavo A. Madero|ALCOHOLICOS ANONIMOS GRUPO LAS TORRES|CENTRAL MEXICANA SERVICIOS GENERALES DE ALCOHOLICOS ANONIMOS AC|624191|Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones|0 a 5 personas|CALLE|TECPAN DE GALEANA|0|||COLONIA|SAN FELIPE DE JESUS|||07510|0864|003||||2010-07|19.49846617|-99.07157847||CALLE|TAMAZOLA|CALLE|OTUMBA|CALLE|TIXTLA|09005624191003161000000000U0
26148|1036290|624191|44661|1036290|09|CIUDAD DE MÉXICO|010|Álvaro Obregón|0001|Álvaro Obregón|GRUPO  DE  ALCOHOLICOS  ANONIMOS  LAS TORRES AA||624191|Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones|0 a 5 personas|CALLE|VILLA AZUETA|43|||COLONIA|JALALPATEPITO|||01290|1561|025||||2010-07|19.37278248|-99.23588159||AVENIDA|VICENTE GUERRERO|AVENIDA|JALALPA NORTE|CALLE|1|09010624191000311000000000U4
26148|965395|624191|44662|965395|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|GRUPO LAS TORRES DE ALCOHOLICOS ANONIMOS|OFICINA CNTRAL DE SERVICIOS GENERALES DE GRUPOS DE ALCOLICOS ANONIMOS 24 HORAS Y TERAPIA INTENSIVA AC |624191|Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones|11 a 30 personas|CALLE|JUAN DE LA BARRERA|16|||COLONIA|NIÑOS HEROES DE CHAPULTEPEC|||03440|0492|009||||2010-07|19.38631708|-99.14072417||CALLE|NIÑOS HEROES DE CHAPULTEPEC|CALLE|ROMERO|CALLE|HILARIO PÉREZ DE LEÓN|09014624191000403001000000U1
26149|8580777|468311|44663|8580777|16|MICHOACÁN DE OCAMPO       |076|Sahuayo|0001|Sahuayo de Morelos|CAN-AM|ATV DE SAHUAYO SA DE CV|468311|Comercio al por menor de motocicletas|0 a 5 personas|CARRETERA|CTRA. SAHUAYO-GUADALAJARA||||COLONIA|MICHOACAN|||59058|0226|003||||2019-11|20.08044472|-102.71565931||OTRO (ESPECIFIQUE)|NINGUNO|CALLE|CTRA. ENTRONQUE PATTI-SAHUAYO|OTRO (ESPECIFIQUE)|NINGUNO|16076468311000191000000000M5
26151|6359102|434111|44664|6359102|16|MICHOACÁN DE OCAMPO       |106|Yurécuaro|0001|Yurécuaro|AGROHERSA SA DE CV|AGROHERSA SA DE CV|434111|Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra|11 a 30 personas|CALLE|REFORMA|13|||COLONIA|INDUSTRIAL|||59250|0123|029||AGROGERSA_1993@HOTMAIL.COM||2010-07|20.33101480|-102.29444882||CALLE|ZAPOTE|CALLE|CALIFORNIA|CALLE|COSTA RICA|16106434111000081000000000U8
26152|1910964|461150|44665|1910964|14|JALISCO|067|Puerto Vallarta|0001|Puerto Vallarta|CREMERIA SAN JOSE|PROLAC SAN JOSE SA DE CV|461150|Comercio al por menor de leche, otros productos lácteos y embutidos|0 a 5 personas|CALLE|MORELIA|123|||COLONIA|VERSALLES|||48310|0105|016|3222249518||CREMERIASANJOSEPV.COM|2010-07|20.63122053|-105.22786239||CALLE|RAFAEL OSUNA|CALLE|LUIS DONALDO COLOSIO|CALLE|RAFAEL OSUNA|14067461150000183001054019M2
26152|9135154|311513|44666|9135154|16|MICHOACÁN DE OCAMPO       |051|Marcos Castellanos|0001|San José de Gracia|EXPENDIO SAN JOSE|PROLAC SAN JOSE SA DE CV|311513|Elaboración de derivados y fermentos lácteos|0 a 5 personas|CALLE|REFORMA|14|||COLONIA|SAN JOSE DE GRACIA ORNELAS|||59500|0072|007|3815371551|||2019-11|19.99007721|-103.02266450||CALLE|MORELOS PONIENTE|CALLE|HIDALGO PONIENTE|CALLE|OCAMPO|16051311513000541000054019S4
26152|9164752|461150|44667|9164752|18|NAYARIT|020|Bahía de Banderas|0049|San Clemente de Lima|CREMERIA SAN JOSE|PROLAC SAN JOSE SA DE CV|461150|Comercio al por menor de leche, otros productos lácteos y embutidos|0 a 5 personas|CALLE|NINGUNO||||COLONIA|SAN ISIDRO|||63735|1957|001||||2019-11|20.73740697|-105.27043117||CALLE|GUANAJUATO|CALLE|BAHIA DE BANDERAS|CALLE|NINGUNO|18020461150000191000054019S0
26154|6307719|468411|44668|6307719|09|CIUDAD DE MÉXICO|007|Iztapalapa|0001|Iztapalapa|GASOLINERÍA CUALLI 5239|SERVICIOS TRES ENCINAS SA DE CV|468411|Comercio al por menor de gasolina y diesel|6 a 10 personas|AVENIDA|EJE 5 SUR (LEYES DE REFORMA)|44|||COLONIA|PASEOS DE CHURUBUSCO|||09030|2403|003||URIBE-5043@HOTMAIL.COM|WWWGRUPOSIRAGO.COM|2010-07|19.38008671|-99.08653579||CALLE|ENCOMENDEROS|CALLE|BARATILLO|CALLE|POCHITECAS|09007468411000103001000000U2
26154|9334225|561330|44669|9334225|09|CIUDAD DE MÉXICO|005|Gustavo A. Madero|0001|Gustavo A. Madero|PRESTADORA DE SERVICIOS ADMINISTRATIVOS EL ENCINO|PRESTADORA DE SERVICIOS ADMINISTRATIVOS EL ENCINO S DE RL DE CV|561330|Suministro de personal permanente|101 a 250 personas|CALLE|LATACUNGA|880|||COLONIA|LINDAVISTA NORTE||||0737|008|5591984914|DAVID-CRUZ@GP.ORG.MX||2021-05|19.49412447|-99.12532539||CALLE|SIERRAVISTA|CALLE|LINDAVISTA|CALLE|LIMA|09005561330000296000000000U6
26154|6882714|468411|44670|6882714|14|JALISCO|001|Acatic|0014|El Colomo|ESTACIÓN DE SERVICIO LOS 3 ENCINOS|ESTACION DE SERVICIO LOS 3 ENCINOS SA DE CV|468411|Comercio al por menor de gasolina y diesel|11 a 30 personas|CARRETERA|LAGOS DE MORENO-GUADALAJARA|1||0|COLONIA|EL COLOMO|||45430|0048|800||GASOLINERA3ENCINOS@HOTMAIL.COM||2019-04|20.71017655|-102.94993428||CALLE|NINGUNO|CALLE|NINGUNO|CARRETERA|LAGOS DE MORENO GUADALAJARA|14001468411000033000000000U7
26154|6859194|468411|44671|6859194|14|JALISCO|033|Degollado|0013|Buenavista de Garnica|SERVICIO LOS ENCINOS|SERVICIO LOS ENCINOS SA DE CV|468411|Comercio al por menor de gasolina y diesel|11 a 30 personas|CARRETERA|LA PIEDAD DE CAVADAS DEGOLLADO|0||0|PUEBLO|DEGOLLADO|||47980|0041|800||ENCINOS1@YAHOO.COM.MX||2019-04|20.43666045|-102.12857008||OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|MANZANA 800|14033468411000022001000000U3
26154|8650043|811492|44672|8650043|14|JALISCO|097|Tlajomulco de Zúñiga|0862|Colinas del Roble|MOTO SERVICIO SIN NOMBRE|MOTO SERVICIO 217-66 AV. LOS ENCINOS |811492|Reparación y mantenimiento de motocicletas|0 a 5 personas|AVENIDA|LOS ENCINOS|217||66|FRACCIONAMIENTO|FRACCOIONAMIENTO LOS ENCINOS|||45650|340A|028|3316403446|||2019-11|20.50919664|-103.40232685||CALLE|NINGUNO|CIRCUITO|DE LAS CEIBAS|CALLE|NINGUNO|14097811492000231000000000U9
26154|6880911|468411|44673|6880911|15|MÉXICO                      |062|Ocoyoacac|0004|Colonia Juárez (Los Chirinos)|AUTO SERVICIO LOS ENCINOS|AUTO SERVICIO LOS ENCINOS SA DE CV|468411|Comercio al por menor de gasolina y diesel|11 a 30 personas|CALLE|CARRETERA MEXICO TOLUCA KM 45+400|0|||COLONIA|JUAREZ LOS CHIRINOS|LOS ENCINOS|SN|57290|0103|015||SERGIOHBA@HOTMAIL.COM||2019-04|19.28325608|-99.47228451|CENTRO Y PLAZA COMERCIAL|CALLE|NINGUNO|CALLE|EMILIANO ZAPATA|CALLE|HIDALGO|15062468411000062001000000U7
