14223|7292442|468420|7772|7292442|11|GUANAJUATO|032|San José Iturbide|0001|San José Iturbide|BODEGA DE ANTICONGELANTE Y ACEITE PARA MOTORES LAYO||468420|Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor|0 a 5 personas|BOULEVARD|LIBRAMIENTO PONIENTE||||COLONIA|CENTRO|||37980|0159|022|4191151562|ROBERTOHDZ_1958@HOTMAIL.COM||2019-11|21.00075116|-100.39204263||CALLE|MELCHOR OCAMPO|CALLE|GUERRERO|CALLE|GUERRERO|11032468420000171000000000S4
14223|1285226|461121|7773|1285226|11|GUANAJUATO|042|Valle de Santiago|0001|Valle de Santiago|CARNICERIA LAYO||461121|Comercio al por menor de carnes rojas|0 a 5 personas|CALLE|CENTRAL|12||0|COLONIA|LA LOMA|||38400|0367|002||||2010-07|20.38235647|-101.20019091||CALLE|VICTOR RAMIREZ GODOY|CALLE|SERAFIN GUTIERREZ|CALLE|EMILIANO ZAPATA|11042461121000341000000000U3
14223|1177293|461110|7774|1177293|11|GUANAJUATO|020|León|0464|Álvaro Obregón (Santa Ana del Conde)|TIENDA DE ABARROTES LAYO||461110|Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas|0 a 5 personas|CARRETERA|NINGUNO|0||0|LOCALIDAD|ALVARO OBREGON SANTA ANA DEL CONDE|||37680|3716|051||||2014-12|20.95152932|-101.58146016||CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|11020461110088711000000000U1
14223|8474960|461122|7775|8474960|11|GUANAJUATO|037|Silao de la Victoria|0004|La Aldea|VENTA DE POLLO LAYO||461122|Comercio al por menor de carne de aves|0 a 5 personas|CALLE|MIGUEL ALEMAN||||LOCALIDAD|LA ALDEA|||36280|0155|006||||2019-11|20.90199760|-101.48261994||CALLE|FRANCISCO I MADERO|CALLE|NINGUNO|CALLE|ANTONIO VILLAREAL|11037461122000551000000000U5
14223|1355290|531319|7776|1355290|11|GUANAJUATO|007|Celaya|0001|Celaya|GESTIONES EFECTIVAS C.E. LAYA|GESTIONES EFECTIVAS C.E. LAYA SA DE CV|531319|Otros servicios relacionados con los servicios inmobiliarios|0 a 5 personas|BOULEVARD|ADOLFO LOPEZ MATEOS|0|METROPLAZA|117|COLONIA|ARBOLEDAS|METROPLAZA|117|38046|1027|020||OSCARKANO@HOTMAIL.COM||2010-07|20.51937010|-100.82824551|EDIFICIO COMERCIAL Y DE SERVICIOS|CALLE|BOSQUES DE CHAPULTEPEC|AVENIDA|PROFESOR FRANCISCO JUAREZ|CALLE|DIEGO RIVERA|11007522320000021010000000U9
14223|8609298|531113|7777|8609298|11|GUANAJUATO|007|Celaya|0001|Celaya|SALON DE EVENTOS QUINTA LAYA||531113|Alquiler sin intermediación de salones para fiestas y convenciones|0 a 5 personas|AVENIDA|PRADERAS DE LA ARBOLEDA||||FRACCIONAMIENTO|QUINTAS CAMPO REAL|||38019|2538|001||||2019-11|20.56225520|-100.81671211||AVENIDA|PRADERAS DE LA ARBOLEDA|AVENIDA|CAMINO A SAN MARTIN DE CAMAGO|AVENIDA|PRADERAS DE LA ARBOLEDA|11007531113002521000000000U4
14223|1347158|722514|7778|1347158|11|GUANAJUATO|007|Celaya|0001|Celaya|TACOS Y TORTAS DON LAYO||722514|Restaurantes con servicio de preparación de tacos y tortas|0 a 5 personas|AVENIDA|PROFESOR FRANCISCO JUAREZ||||COLONIA|DEL PARQUE|||38020|1281|014|4616153912|||2010-07|20.53774308|-100.82715707||CALLE|PARQUE CRISANTEMA|CALLE|PARQUE DEL BAJIO|CALLE|PARQUE DEL BOSQUE|11007722212006792000000000U6
14223|1348399|722514|7779|1348399|11|GUANAJUATO|007|Celaya|0001|Celaya|TACOS Y TORTAS DON LAYO||722514|Restaurantes con servicio de preparación de tacos y tortas|0 a 5 personas|AVENIDA|MIGUEL HIDALGO||||COLONIA|GRANADA|||38040|0141|020|4616135716|||2010-07|20.52124283|-100.82312088||CALLE|ABASOLO|CALLE|HERMENEGILDO BUSTOS|CALLE|NICOLÁS BRAVO|11007722219006552000000000U9
14223|1248066|722514|7780|1248066|11|GUANAJUATO|007|Celaya|0001|Celaya|TORTAS DON LAYO II||722514|Restaurantes con servicio de preparación de tacos y tortas|0 a 5 personas|AVENIDA|EL SAUZ|1208||101|COLONIA|SAN JUANICO|||38020|1188|055||||2010-07|20.54377286|-100.83871256||CALLE|NINGUNO|CALLE|NINGUNO|CALLE|CORAL|11007722212002061010000000U0
14223|7380989|811121|7781|7380989|11|GUANAJUATO|020|León|0001|León de los Aldama|HOJALATERÍA Y PINTURA LAYO||811121|Hojalatería y pintura de automóviles y camiones|0 a 5 personas|CALLE|OCEANO PACIFICO|802||0|COLONIA|SANTA MARIA DEL GRANJENO|||37520|1137|066||||2019-11|21.09449662|-101.65254936||CALLE|MALINALCO|CALLE|MAR AMARILLO|CALLE|ALFREDO VALADEZ|11020811121006561000000000U3
