22184|8160256|532110|12802|8160256|03|BAJA CALIFORNIA SUR|003|La Paz|0001|La Paz|BAJA RENT CARS & TRUCK|AUTOTRANSPORTES TRANSPENINSULARES S DE RL DE CV|532110|Alquiler de automóviles sin chofer|11 a 30 personas|BOULEVARD|CONSTITUYENTES DE 1975||||COLONIA|RES LAS FLORES|||23090|3335|020||GERENCIA@BAJARENTCARS.COM|WWW.BAJARENTCARS.COM|2019-11|24.13612060|-110.33871445||CALLE|MAR CARIBE|BOULEVARD|CONSTITUYENTES DE 1975|CALLE|OCÉANO PACÍFICO|03003532110000483000000000S3
22184|168829|532110|12803|168829|03|BAJA CALIFORNIA SUR|003|La Paz|0001|La Paz|BAJA RENT CARS AND TRUCK|AUTORRENTAS TRANSPENINSULARES S DE RL DE CV|532110|Alquiler de automóviles sin chofer|6 a 10 personas|CALZADA|MARIANO ABASOLO|0||0|COLONIA|EL MANGLITO|||23060|2962|030||ADMINISTRACION@BAJARENTCARS.COM|WWW.BAJARENTCARS.COM|2012-06|24.14884228|-110.32837380||CALLE|SONORA|CALLE|SINALOA|CALLE|PROLONGACIÓN TOPETE|03003532110000071000000000M6
22184|6289946|532110|12804|6289946|03|BAJA CALIFORNIA SUR|008|Los Cabos|0001|San José del Cabo|BUDGET CAR RENT|OPERADORA TURISTICA DEL SUR SA DE CV|532110|Alquiler de automóviles sin chofer|11 a 30 personas|OTRO (ESPECIFIQUE)|NINGUNO|0||0|COLONIA|LAS VEREDAS|||23420|255A|024||CONTADORC@GUEPARDO.COM||2014-12|23.16305518|-109.71455042||CALLE|SIN REFERENCIA|CALLE|NINGUNO|CALLE|NINGUNO|03008532110000323002000657M0
22184|6231111|532110|12805|6231111|03|BAJA CALIFORNIA SUR|008|Los Cabos|0054|Cabo San Lucas|BUDGET CAR RENT|OPERADORA TURISTICA DEL SUR SA DE CV|532110|Alquiler de automóviles sin chofer|11 a 30 personas|AVENIDA|LÁZARO CÁRDENAS|0||0|COLONIA|CENTRO|||23450|0943|012||CONTADORC@GUEPARDO.COM||2010-07|22.88875613|-109.91050663||AVENIDA|16 DE SEPTIEMBRE|CALLE|LEONA VICARIO|CALLE|16 DE SEPTIEMBRE|03008532110000021002000657S0
22184|6871909|532110|12806|6871909|03|BAJA CALIFORNIA SUR|008|Los Cabos|0001|San José del Cabo|BUDGET CAR RENT OFICINAS ADMINISTRATIVAS||532110|Alquiler de automóviles sin chofer|31 a 50 personas|CALLE|NINGUNO|0|EDIFICIO SIN NOMBRE|0|COLONIA|COLONIA|||23440|255A|023||CONTADORC@GRUPOGUEPARDO.COM||2019-04|23.16011344|-109.71172680||CALLE|NINGUNO|CALLE|PLAYA DEL TAMBOR|CALLE|PLAYA DEL TAMBOR|03008532110001003001002757M7
22184|6854423|532110|12807|6854423|03|BAJA CALIFORNIA SUR|009|Loreto|0001|Loreto|FOX RENT A CAR|TURISMO GARGO SA DE CV|532110|Alquiler de automóviles sin chofer|0 a 5 personas|CALLE|MIGUEL HIDALGO|0|||COLONIA|CENTRO|||23473|0122|010||ACALDERON@FOXRENTACAR.MX||2018-11|26.01049568|-111.34016634||CALLEJON|PÍPILA|CALLE|ADOLFO LÓPEZ MATEOS|CALLE|BAJA CALIFORNIA|03009532110000122001005687S4
22184|6289083|532110|12808|6289083|03|BAJA CALIFORNIA SUR|008|Los Cabos|0001|San José del Cabo|FOX RENT A CAR|TURISMO GARGO SA DE CV|532110|Alquiler de automóviles sin chofer|6 a 10 personas|CALLE|NINGUNO|0||0|COLONIA|LAS VEREDAS|AEROPUERTO INTERNACIONAL SAN JOSÉ DEL CABO|SN|23436|2422|016||ACALDERON@FOXRENTACAR.MX||2013-07|23.16272729|-109.71608862|AEROPUERTO|CALLE|NINGUNO|CALLE|NINGUNO|VIADUCTO|NINGUNO|03008532110000221002005687S6
22184|6345656|532110|12809|6345656|03|BAJA CALIFORNIA SUR|003|La Paz|1811|El Vergel|FOX RENT A CAR|TURISMO GARGO SA DE CV|532110|Alquiler de automóviles sin chofer|0 a 5 personas|AVENIDA|ALVARO OBREGON|1775|||COLONIA|CENTRO|||23000|245A|800||ADMINISTRACION@FOXRENTACAR.MX||2014-12|24.08478062|-110.36961181||CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|03003532110000213002005687M4
22184|6289059|532110|12810|6289059|03|BAJA CALIFORNIA SUR|003|La Paz|0001|La Paz|HERTZ RENT A CAR|AUTOTURISMO NAVER SA DE CV|532110|Alquiler de automóviles sin chofer|11 a 30 personas|CALLE|PASEO ÁLVARO OBREGÓN|2130||0|COLONIA|CENTRO|||23000|2267|033||||2014-12|24.15664717|-110.32076983||OTRO (ESPECIFIQUE)|5|OTRO (ESPECIFIQUE)|5|OTRO (ESPECIFIQUE)|5|03003532110000102002011353S9
22184|6806648|532110|12811|6806648|03|BAJA CALIFORNIA SUR|003|La Paz|0001|La Paz|HERTZ RENT A CAR|AUTOTURISMO NAVER SA DE CV|532110|Alquiler de automóviles sin chofer|0 a 5 personas|CARRETERA|TRANSPENINSULAR|0||0|COLONIA|CHAMETLA|AEROPUERTO INTERNACIONAL GENERAL MANUEL MÁRQUEZ DE LEÓN|SN|23206|1023|019||||2017-11|24.07626066|-110.36745676|AEROPUERTO|OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|NINGUNO|CALLE|NINGUNO|03003532110000361000011353S1
