14464|2308209|321910|8262|2308209|15|MÉXICO                      |033|Ecatepec de Morelos|0001|Ecatepec de Morelos|FABRICACIÓN DE PRODUCTOS DE MADERA PARA LA CONSTRUCCIÓN|CARPINTERÍA EN GENERAL |321910|Fabricación de productos de madera para la construcción|0 a 5 personas|CALLE|MONTE PICO DE ORIZABA||||COLONIA|MONTE PICO DE ORIZABA|||55070|1449|034||||2014-12|19.60757266|-98.99185892||AVENIDA|JARDINES DE MORELOS|CALLE|PLAYA MARQUELIA|CALLE|MONTE PICO DE ORIZABA|15033321910002261000000000U2
14464|9057088|434225|8263|9057088|15|MÉXICO                      |104|Tlalnepantla de Baz|0001|Tlalnepantla|GENERAL DE PRODUCTOS|GENERAL DE PRODUCTOS SA DE CV|434225|Comercio al por mayor de equipo y material eléctrico|0 a 5 personas|CALLE|ATLACOMULCO|54||0|COLONIA|TLALNEMEX|||54070|0656|012|5518652108|GEPROSA45@YAHOO.COM.MX||2019-11|19.53100169|-99.20138813||CALLE|ACOLMAN|CALLE|IXTLAHUACA|CALLE|ATLACOMULCO|15104434225000921000000000U9
14464|2231303|434225|8264|2231303|15|MÉXICO                      |104|Tlalnepantla de Baz|0001|Tlalnepantla|GENERAL DE PRODUCTOS S.A DE C.V.|GENERAL DE PRODUCTOS SA DE CV|434225|Comercio al por mayor de equipo y material eléctrico|0 a 5 personas|CALLE|ATLACOMULCO|54||0|COLONIA|TLALNEMEX|||54070|0656|012||||2010-07|19.53097717|-99.20142805||CALLE|ACOLMAN|CALLE|IXTLAHUACA|CALLE|IXTLAHUACA|15104434225000502001000000U7
14464|2282748|467115|8265|2282748|15|MÉXICO                      |058|Nezahualcóyotl|0001|Ciudad Nezahualcóyotl|JARCERIA Y PRODUCTOS DE LIMPIEZA EN GENERAL SIN NOMBRE||467115|Comercio al por menor de artículos para la limpieza|0 a 5 personas|CALLE|VALLE PERDIDO|7||0|COLONIA|VALLE DE ARAGON !RA SECCION|||57100|0079|037|5557100723|||2014-12|19.48895712|-99.04299057||ANDADOR|UNO|AVENIDA|RIO DE LOS REMEDIOS|CALLE|V. DE PASOS|15058467115007571000000000U6
14464|7890503|467115|8266|7890503|15|MÉXICO                      |109|Tultitlán|0003|Buenavista|PRODUCTOS DE LIMPIEZA EN GENERAL||467115|Comercio al por menor de artículos para la limpieza|0 a 5 personas|CALLE|RIO MISSISSIPPI|0||0|COLONIA|OJO DE AGUA|||54943|1608|022||||2019-11|19.60705326|-99.17328241||CALLE|BUGAMBILIAS|AVENIDA|OJO DE AGUA|CALLE|PIRULES|15109467115005011000000000U6
14464|9104970|467115|8267|9104970|15|MÉXICO                      |109|Tultitlán|0003|Buenavista|PRODUCTOS DE LIMPIEZA EN GENERAL L + L||467115|Comercio al por menor de artículos para la limpieza|0 a 5 personas|BOULEVARD|REFORMA||||COLONIA|OJO DE AGUA|||54943|1608|018||||2019-11|19.60767729|-99.17558625||CALLE|PASEO TULIPANES|CALLE|RIO COATZACOALCOS|CALLE|LAGUNA|15109467115007611000000000U1
14464|9348754|467115|8268|9348754|15|MÉXICO                      |104|Tlalnepantla de Baz|0001|Tlalnepantla|PRODUCTOS DE LIMPIEZA EN GENERAL Y CONTROL DE PLAG||467115|Comercio al por menor de artículos para la limpieza|0 a 5 personas|PRIVADA|NINGUNO|29|||COLONIA|VALLE DORADO||||0209|001||||2021-05|19.55356196|-99.22022507||CALLE|JOAQUIN ROBLES OLGUIN|CALLE|IZTACCIHUATL|CERRADA|CERRADA DE PINO|15104467115005461000000000U4
14464|7084449|467115|8269|7084449|15|MÉXICO                      |099|Texcoco|0020|San Bernardino|PRODUCTOS DE LIMPIEZA GENERAL CLEAN||467115|Comercio al por menor de artículos para la limpieza|0 a 5 personas|CALLE|NIÑOS HEROES|10|||PUEBLO|TOLIMPA|||56260|0777|002|5518992232|||2019-11|19.47642660|-98.89479449||CALLE|ITURBIDE|CALLE|FRANCISCO I MADERO|CALLE|ITURBIDE|15099467115001661000000000U5
14464|2540215|467115|8270|2540215|15|MÉXICO                      |032|Donato Guerra|0008|San Agustín de las Palmas (San Agustín)|PRODUCTOS HIGIENICOS DE USO GENERAL||467115|Comercio al por menor de artículos para la limpieza|0 a 5 personas|CALLE|NINGUNO||||LOCALIDAD|SAN AGUSTIN DE LAS PALMAS|||51030|0087|009||||2010-07|19.32315316|-100.15068259||PRIVADA|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|15032467115000012000000000U3
14464|7157921|467115|8271|7157921|15|MÉXICO                      |104|Tlalnepantla de Baz|0001|Tlalnepantla|VENTA DE JARCIERIA PRODUCTOS DE LIMPIEZA GENERAL||467115|Comercio al por menor de artículos para la limpieza|0 a 5 personas|CALLE|MIGUEL HIDALGO|29||0|COLONIA|MIGUEL HIDALGO|||54060|189A|031||||2019-11|19.52699566|-99.21018330||CERRADA|HIDALGO|CALLE|IGNACIO ALLENDE|CALLE|ABASOLO|15104467115005291000000000U5
14464|8457702|467115|8272|8457702|15|MÉXICO                      |058|Nezahualcóyotl|0001|Ciudad Nezahualcóyotl|VENTA DE PRODUCTO DE LIMPIEZA EN GENERAL||467115|Comercio al por menor de artículos para la limpieza|0 a 5 personas|CALLE|V. PRADOS DE ARAGON|19||0|COLONIA|PRADOS DE ARAGON|||57179|2056|006||||2019-11|19.46919578|-99.04319692||CALLE|PRADOS DE TRUENO|CALLE|PRADOS DE TRUENO|CALLE|PRADOS DE TRUENO|15058467115011691000000000U6
