22220|928017|434219|12843|928017|09|CIUDAD DE MÉXICO|010|Álvaro Obregón|0001|Álvaro Obregón|OXICRETO|AELEA COMERCIALIZADORA SA DE CV|434219|Comercio al por mayor de otros materiales para la construcción, excepto de madera y metálicos|6 a 10 personas|EJE VIAL|10 SUR (RIO MAGDALENA)|117|||COLONIA|LORETO|||01090|1241|012|5555508545|MESINAS@OXICRETOS.COM||2014-12|19.33825432|-99.19504134||CALLE|LORETO|CALLE|DONATO GUERRA|CALLE|ALTAMIRANO|09010434219000161001000000U2
22222|9088717|812110|12844|9088717|02|BAJA CALIFORNIA|002|Mexicali|0284|San Felipe|ESTETICA CONCHITA||812110|Salones y clínicas de belleza y peluquerías|0 a 5 personas|CALZADA|CHETUMAL|200|||COLONIA|SAN FELIPE|||21850|5397|028|6862252905|||2019-11|31.02570705|-114.84354076||AVENIDA|MAR DE LAS FLORRES|CALLE|MAR CARIBE SUR|CALLE|ENSENADA|02002812110033411000000000U9
22222|183867|812110|12845|183867|03|BAJA CALIFORNIA SUR|008|Los Cabos|0001|San José del Cabo|ESTETICA UNISEX CONCHITA ALONSO||812110|Salones y clínicas de belleza y peluquerías|0 a 5 personas|CALLE|BAJA CALIFORNIA|0||0|COLONIA|SANTA ROSA|||23426|1091|007||||2014-12|23.09460362|-109.71515116||CALLE|20 DE NOVIEMBRE|CALLE|5 DE FEBRERO|CALLE|MAURICIO CASTRO|03008466410001681010000000U4
22222|453804|812110|12846|453804|07|CHIAPAS|089|Tapachula|0001|Tapachula de Córdova y Ordóñez|ESTETICA CONCHITA||812110|Salones y clínicas de belleza y peluquerías|0 a 5 personas|AVENIDA|CENTRAL|1|||FRACCIONAMIENTO|BONANZA|||30745|0583|042|9621773102|||2014-12|14.90021357|-92.24170321||CALLE|MAR ROJO|CALLE|MAR MEDITERRANEO|CALLE|MAR CASPIO|07089812110006501000000000U2
22222|367159|812110|12847|367159|07|CHIAPAS|019|Comitán de Domínguez|0001|Comitán de Domínguez|ESTETICA CONCHITA||812110|Salones y clínicas de belleza y peluquerías|0 a 5 personas|CALLE|CENTRAL PONIENTE|36|||COLONIA|CENTRO|||30000|0254|015|9631091667|||2010-07|16.25087332|-92.13871255||AVENIDA|TERCERA PONIENTE SUR|AVENIDA|SEGUNDA PONIENTE SUR|CALLE|PRIMERA SUR PONIENTE|07019812110001031000000000U2
22222|514672|812110|12848|514672|07|CHIAPAS|040|Huixtla|0001|Huixtla|ESTETICA CONCHITA||812110|Salones y clínicas de belleza y peluquerías|0 a 5 personas|AVENIDA|RAYON NORTE|44||0|BARRIO|EL CARMEN|||30640|0239|001||||2010-07|15.14007368|-92.46192483||CALLE|PORFIRIO DIAZ ORIENTE|CALLE|RODULFO FIGUEROA ORIENTE|AVENIDA|GONZÁLEZ ORTEGA NORTE|07040812110000321000000000U4
22222|434321|812110|12849|434321|07|CHIAPAS|017|Cintalapa|0001|Cintalapa de Figueroa|ESTÉTICA CONCHITA||812110|Salones y clínicas de belleza y peluquerías|0 a 5 personas|AVENIDA|PRIMERA SUR||||BARRIO|CINTALAPA DE FIGUEROA CENTRO|||30400|0391|036||||2014-12|16.69727099|-93.72220444||CALLE|SEGUNDA PONIENTE|CALLE|PRIMERA PONIENTE|CALLE|CENTRAL PONIENTE|07017812110001161000000000U1
22222|465756|812110|12850|465756|07|CHIAPAS|078|San Cristóbal de las Casas|0001|San Cristóbal de las Casas|ESTETICA CONCHITA||812110|Salones y clínicas de belleza y peluquerías|0 a 5 personas|AVENIDA|5 DE MAYO|65|||BARRIO|DE MEXICANOS|||29240|0170|005||||2010-07|16.74222414|-92.63989946||CALLE|REAL DE MEXICANOS|CALLE|VENEZUELA|CALLE|REAL DE MEXICANOS|07078812110000781000000000U9
22222|561271|812110|12851|561271|08|CHIHUAHUA|037|Juárez|0001|Juárez|ESTETICA CONCHITA||812110|Salones y clínicas de belleza y peluquerías|0 a 5 personas|CALLE|HACIENDA VALSEQUILLA|9507||31|FRACCIONAMIENTO|LAS HACIENDAS|||32575|7818|009||||2014-12|31.57330580|-106.39533660||CALLE|HACIENDA CENTRAL|CALLE|HACIENDA PONIENTE|CALLE|HACIENDA VALSEQUILLA|08037812110025541000000000U3
22222|1053139|812110|12852|1053139|09|CIUDAD DE MÉXICO|010|Álvaro Obregón|0001|Álvaro Obregón|ESTETICA CONCHITA|ESTETICA CONCHITA SA DE CV|812110|Salones y clínicas de belleza y peluquerías|11 a 30 personas|CALLE|JOSEFA ORTIZ DE DOMINGUEZ|19||0|COLONIA|PUEBLO TIZAPAN|||01090|1237|003|56160671||WWW.ESTETICACONCHITA.COM|2010-07|19.33569703|-99.20223267||CALLE|ALDAMA|CALLE|ALLENDE|CALLE|ALLENDE|09010812110008242000000000U5
